Signal Legend:

Key        Signal Name

0        = rom:inst2|q
1        = fft:inst1|source_real
2        = fft:inst1|source_imag
3        = data_modulus:inst9|data_modulus
4        = fir:inst|ast_source_data

Data Table:

Signals-> 0     1    2    3   4        

sample

-128      -2048 0    0    0   3891347  
-127      -2048 0    0    0   3891347  
-126      -2048 0    0    8   3891347  
-125      -2048 0    0    0   3891347  
-124      -2048 0    0    0   3891347  
-123      -2048 0    0    0   3891347  
-122      -2048 0    0    0   3891347  
-121      -2048 8    0    0   3891347  
-120      -2048 0    0    0   3887252  
-119      -2048 0    0    0   3874967  
-118      -2048 0    0    8   3850397  
-117      -2048 0    0    0   3809447  
-116      -2048 0    0    0   3743927  
-115      -2048 0    0    0   3649742  
-114      -2048 0    0    0   3518702  
-113      -2048 1    8    0   3342617  
-112      -2048 0    0    0   3121487  
-111      -2048 0    0    0   2847122  
-110      -2048 0    0    8   2523617  
-109      -2048 0    0    0   2146877  
-108      -2048 0    0    0   1725092  
-107      -2048 0    0    0   1262357  
-106      -2048 0    0    0   770957   
-105      -2048 -8   2    0   259082   
-104      -2048 0    0    0   -260983  
-103      -2048 0    0    0   -772858  
-102      -2048 0    0    8   -1264258 
-101      -2048 0    0    0   -1726993 
-100      -2048 0    0    0   -2148778 
-99       -2048 0    0    0   -2525518 
-98       -2048 0    0    0   -2849023 
-97       -2048 -3   -8   0   -3123388 
-96       -2048 0    0    0   -3344518 
-95       -2048 0    0    0   -3520603 
-94       -2048 0    0    8   -3651643 
-93       -2048 0    0    0   -3745828 
-92       -2048 0    0    0   -3811348 
-91       -2048 0    0    0   -3852298 
-90       -2048 0    0    0   -3876868 
-89       -2048 7    -4   0   -3889153 
-88       -2048 0    0    0   -3893248 
-87       -2048 0    0    0   -3893248 
-86       -2048 0    0    8   -3893248 
-85       -2048 0    0    0   -3893248 
-84       -2048 0    0    0   -3893248 
-83       -2048 0    0    0   -3893248 
-82       -2048 0    0    0   -3893248 
-81       -2048 5    7    0   -3893248 
-80       -2048 0    0    0   -3893248 
-79       -2048 0    0    0   -3893248 
-78       -2048 0    0    8   -3893248 
-77       -2048 0    0    0   -3893248 
-76       -2048 0    0    0   -3893248 
-75       -2048 0    0    0   -3893248 
-74       -2048 0    0    0   -3893248 
-73       -2048 -6   6    0   -3893248 
-72       -2048 0    0    0   -3893248 
-71       -2048 0    0    0   -3893248 
-70       -2048 0    0    8   -3893248 
-69       -2048 0    0    0   -3893248 
-68       -2048 0    0    0   -3893248 
-67       -2048 0    0    0   -3893248 
-66       -2048 0    0    0   -3893248 
-65       -2048 -7   -5   0   -3893248 
-64       -2048 0    0    0   -3893248 
-63       -2048 0    0    0   -3893248 
-62       -2048 0    0    8   -3893248 
-61       -2048 0    0    0   -3893248 
-60       -2048 0    0    0   -3893248 
-59       -2048 0    0    0   -3893248 
-58       -2048 0    0    0   -3893248 
-57       -2048 5    -7   0   -3893248 
-56       -2048 0    0    0   -3893248 
-55       -2048 0    0    0   -3893248 
-54       -2048 0    0    8   -3893248 
-53       -2048 0    0    0   -3893248 
-52       -2048 0    0    0   -3893248 
-51       -2048 0    0    0   -3893248 
-50       -2048 0    0    0   -3893248 
-49       -2048 8    4    0   -3893248 
-48       -2048 0    0    0   -3893248 
-47       -2048 0    0    0   -3893248 
-46       -2048 0    0    8   -3893248 
-45       -2048 0    0    0   -3893248 
-44       -2048 0    0    0   -3893248 
-43       -2048 0    0    0   -3893248 
-42       -2048 0    0    0   -3893248 
-41       -2048 -3   8    0   -3893248 
-40       -2048 0    0    0   -3893248 
-39       -2048 0    0    0   -3893248 
-38       -2048 0    0    8   -3893248 
-37       -2048 0    0    0   -3893248 
-36       -2048 0    0    0   -3893248 
-35       -2048 0    0    0   -3893248 
-34       -2048 0    0    0   -3893248 
-33       -2048 -8   -2   0   -3893248 
-32       -2048 0    0    0   -3893248 
-31       -2048 0    0    0   -3893248 
-30       -2048 0    0    8   -3893248 
-29       -2048 0    0    0   -3893248 
-28       -2048 0    0    0   -3893248 
-27       -2048 0    0    0   -3893248 
-26       -2048 0    0    0   -3893248 
-25       -2048 0    -9   0   -3893248 
-24       -2048 0    0    0   -3893248 
-23       -2048 0    0    0   -3893248 
-22       -2048 0    0    9   -3893248 
-21       -2048 0    0    0   -3893248 
-20       -2048 0    0    0   -3893248 
-19       -2048 0    0    0   -3893248 
-18       -2048 0    0    0   -3893248 
-17       -2048 10   -1   0   -3893248 
-16       -2048 0    0    0   -3893248 
-15       -2048 0    0    0   -3893248 
-14       -2048 0    0    10  -3893248 
-13       -2048 0    0    0   -3893248 
-12       2047  0    0    0   -3893248 
-11       2047  0    0    0   -3893248 
-10       2047  0    0    0   -3893248 
-9        2047  1    9    0   -3893248 
-8        2047  0    0    0   -3893248 
-7        2047  0    0    0   -3893248 
-6        2047  0    0    9   -3893248 
-5        2047  0    0    0   -3893248 
-4        2047  0    0    0   -3893248 
-3        2047  0    0    0   -3893248 
-2        2047  0    0    0   -3893248 
-1        2047  -9   3    0   -3893248 
0         2047  0    0    0   -3893248 
1         2047  0    0    0   -3893248 
2         2047  0    0    9   -3893248 
3         2047  0    0    0   -3893248 
4         2047  0    0    0   -3893248 
5         2047  0    0    0   -3893248 
6         2047  0    0    0   -3893248 
7         2047  -4   -9   0   -3893248 
8         2047  0    0    0   -3889153 
9         2047  0    0    0   -3876868 
10        2047  0    0    9   -3852298 
11        2047  0    0    0   -3811348 
12        2047  0    0    0   -3745828 
13        2047  0    0    0   -3651643 
14        2047  0    0    0   -3520603 
15        2047  8    -5   0   -3344518 
16        2047  0    0    0   -3123388 
17        2047  0    0    0   -2849023 
18        2047  0    0    9   -2525518 
19        2047  0    0    0   -2148778 
20        2047  0    0    0   -1726993 
21        2047  0    0    0   -1264258 
22        2047  0    0    0   -772858  
23        2047  6    7    0   -260983  
24        2047  0    0    0   259082   
25        2047  0    0    0   770957   
26        2047  0    0    9   1262357  
27        2047  0    0    0   1725092  
28        2047  0    0    0   2146877  
29        2047  0    0    0   2523617  
30        2047  0    0    0   2847122  
31        2047  -6   8    0   3121487  
32        2047  0    0    0   3342617  
33        2047  0    0    0   3518702  
34        2047  0    0    10  3649742  
35        2047  0    0    0   3743927  
36        2047  0    0    0   3809447  
37        2047  0    0    0   3850397  
38        2047  0    0    0   3874967  
39        2047  -8   -6   0   3887252  
40        2047  0    0    0   3891347  
41        2047  0    0    0   3891347  
42        2047  0    0    10  3891347  
43        2047  0    0    0   3891347  
44        2047  0    0    0   3891347  
45        2047  0    0    0   3891347  
46        2047  0    0    0   3891347  
47        2047  5    -9   0   3891347  
48        2047  0    0    0   3891347  
49        2047  0    0    0   3891347  
50        2047  0    0    10  3891347  
51        2047  0    0    0   3891347  
52        2047  0    0    0   3891347  
53        2047  0    0    0   3891347  
54        2047  0    0    0   3891347  
55        2047  10   4    0   3891347  
56        2047  0    0    0   3891347  
57        2047  0    0    0   3891347  
58        2047  0    0    10  3891347  
59        2047  0    0    0   3891347  
60        2047  0    0    0   3891347  
61        2047  0    0    0   3891347  
62        2047  0    0    0   3891347  
63        2047  -3   11   0   3891347  
64        2047  0    0    0   3891347  
65        2047  0    0    0   3891347  
66        2047  0    0    11  3891347  
67        2047  0    0    0   3891347  
68        2047  0    0    0   3891347  
69        2047  0    0    0   3891347  
70        2047  0    0    0   3891347  
71        2047  -11  -2   0   3891347  
72        2047  0    0    0   3891347  
73        2047  0    0    0   3891347  
74        2047  0    0    11  3891347  
75        2047  0    0    0   3891347  
76        2047  0    0    0   3891347  
77        2047  0    0    0   3891347  
78        2047  0    0    0   3891347  
79        2047  1    -11  0   3891347  
80        2047  0    0    0   3891347  
81        2047  0    0    0   3891347  
82        2047  0    0    11  3891347  
83        2047  0    0    0   3891347  
84        2047  0    0    0   3891347  
85        2047  0    0    0   3891347  
86        2047  0    0    0   3891347  
87        2047  42   37   0   3891347  
88        2047  0    0    0   3891347  
89        2047  0    0    0   3891347  
90        2047  0    0    55  3891347  
91        2047  0    0    0   3891347  
92        2047  0    0    0   3891347  
93        2047  0    0    0   3891347  
94        2047  0    0    0   3891347  
95        2047  -39  34   0   3891347  
96        2047  0    0    0   3891347  
97        2047  0    0    0   3891347  
98        2047  0    0    51  3891347  
99        2047  0    0    0   3891347  
100       2047  0    0    0   3891347  
101       2047  0    0    0   3891347  
102       2047  0    0    0   3891347  
103       2047  -24  -39  0   3891347  
104       2047  0    0    0   3891347  
105       2047  0    0    0   3891347  
106       2047  0    0    45  3891347  
107       2047  0    0    0   3891347  
108       2047  0    0    0   3891347  
109       2047  0    0    0   3891347  
110       2047  0    0    0   3891347  
111       2047  36   -15  0   3891347  
112       2047  0    0    0   3891347  
113       2047  0    0    0   3891347  
114       2047  0    0    39  3891347  
115       2047  0    0    0   3891347  
116       -2048 0    0    0   3891347  
117       -2048 0    0    0   3891347  
118       -2048 0    0    0   3891347  
119       -2048 8    30   0   3891347  
120       -2048 0    0    0   3891347  
121       -2048 0    0    0   3891347  
122       -2048 0    0    31  3891347  
123       -2048 0    0    0   3891347  
124       -2048 0    0    0   3891347  
125       -2048 0    0    0   3891347  
126       -2048 0    0    0   3891347  
127       -2048 -21  1    0   3891347  
128       -2048 0    0    0   3891347  
129       -2048 0    0    0   3891347  
130       -2048 0    0    21  3891347  
131       -2048 0    0    0   3891347  
132       -2048 0    0    0   3891347  
133       -2048 0    0    0   3891347  
134       -2048 0    0    0   3891347  
135       -2048 3    -13  0   3891347  
